LP Name,Investor Type,Country,S&P,Moody's
"Taiwan Life Insurance Co., Ltd",Insurance Company,,BBB+,NR
Anemona PE SCR,Fund-of-Funds,,NR,NR
APICIL PREVOYANCE / portefeuille 210,Insurance Company,,NR,NR
Blastes Actius Privats SCR,Fund-of-Funds,,NR,NR
Crédit Agricole Aquitaine Capital Investissement,Financial Institution,,NR,NR
"CRESCENTA PRIVATE EQUITY BUYOUTS TOP PERFORMERS I, F.C.R.",Fund-of-Funds,,NR,NR
International Fashion Trading S.à r.l.,Corporate,,NR,NR
Kanton Glarus,Other,,NR,NR
Larchpoint 1C LP,Fund-of-Funds,,NR,NR
MC Private Assets SCR,Fund-of-Funds,,NR,NR
PEGASUS EQUITY PARTNERS S.C.A. SICAV-RAIF,Fund-of-Funds,,NR,NR
Pensionskasse Musik und Bildung,Other Pension Plan,,NR,NR
Pensionskasse SWISS Cockpit,Other Pension Plan,,NR,NR
Schuls SCR,Fund-of-Funds,,NR,NR
SWISS Vorsorgestiftung für das Bodenpersonal,Other Pension Plan,,NR,NR
"TANDEM PRIVATE EQUITY II, FCR",Fund-of-Funds,,NR,NR
Tuiga Capital SCR,Fund-of-Funds,,NR,NR
White Peaks Equity Solutions,Investment Company,,NR,NR
Ares Climate Infrastructure Strategies Fund (C) L.P. - CalSTRS,Public Pension Plan,United States,A+,Aa3
Clal Insurance Enterprise Holdings:,Insurance Company,Israel,AA-,NR
State Farm Mutual Automobile Insurance Company (AM Best A++),Insurance Company,United States,AA,NR
HIMCO:,Insurance Company,United States,A+,A1
Pacific Life Insurance Company,Insurance Company,United States,AA-,Aa3
"Tokio Marine & Nichido Fire Insurance Co., Ltd.",Insurance Company,Japan,A+,Aa3
Equitable Financial Life Insurance Company of America,Insurance Company,United States,A+,A1
Power Authority of the State of New York Other Post-Employment Benefits Trust,Corporate Pension Plan,United States,AA+,Aa2
SCOR Reinsurance Company,Insurance Company,France,A+,A1
Kookmin Bank Co. Ltd.,Financial Institution,South Korea,A+,Aa3
New York State Teamsters Conference Pension and Retirement Fund,Other Pension Plan,United States,AA+,Aa1
Laborers' District Coucil and Contractors' Pension Fund of Ohio,Other Pension Plan,United States,AAA,Aaa
The Educational Employees' Supplementary Retirement System of Fairfax County,Public Pension Plan,United States,AAA,Aaa
Michigan Laborers' Pension Fund,Other Pension Plan,United States,AA+,Aa1
Varma Mutual Pension Insurance Company,Insurance Company,Finland,NR,NR
HDI Reinsurance (Ireland) SE,Insurance Company,Ireland,NR,NR
Producer-Writers Guild of America Pension Plan,Other Pension Plan,United States,NR,NR
Allianz SE,Insurance Company,Germany,AA,Aa2
Valtion Eläkerahasto - State Pension Fund of Finland (VER),Public Pension Plan,Finland,NR,NR
Privilege Underwriters Reciprocal Exchange (Pure Insurance - AM Best A),Insurance Company,United States,NR,NR
Morgan Stanley AIP,Fund-of-Funds,United States,NR,NR
